timestamp,vehicle,ward,phase,location_name,latitude,longitude
2025-08-25 09:10:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.447790,77.026631
2025-08-25 09:11:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.447726,77.026608
2025-08-25 09:12:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.447502,77.027358
2025-08-25 09:13:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.447279,77.028108
2025-08-25 09:14:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.447067,77.028862
2025-08-25 09:15:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.446863,77.029619
2025-08-25 09:16:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.446614,77.030359
2025-08-25 09:17:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.446361,77.031096
2025-08-25 09:18:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.446161,77.031855
2025-08-25 09:19:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.445971,77.032606
2025-08-25 09:20:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.445543,77.032192
2025-08-25 09:21:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.445733,77.031431
2025-08-25 09:22:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.445975,77.030688
2025-08-25 09:23:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.446222,77.029948
2025-08-25 09:24:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.446455,77.029202
2025-08-25 09:25:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.446572,77.028528
2025-08-25 09:26:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.445884,77.028411
2025-08-25 09:27:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.445331,77.028154
2025-08-25 09:28:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.445058,77.027678
2025-08-25 09:29:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.444754,77.027242
2025-08-25 09:30:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.444151,77.026849
2025-08-25 09:31:00,HR74A3165,11,TRAVEL_OUT,hans enclave,28.444430,77.026165
2025-08-25 09:30:00,HR74A3165,11,WORKING,hans enclave,28.444457,77.025671
2025-08-25 09:31:00,HR74A3165,11,WORKING,hans enclave,28.444456,77.025684
2025-08-25 09:32:00,HR74A3165,11,WORKING,hans enclave,28.444464,77.025677
2025-08-25 09:33:00,HR74A3165,11,WORKING,hans enclave,28.444477,77.025689
2025-08-25 09:34:00,HR74A3165,11,WORKING,hans enclave,28.444480,77.025690
2025-08-25 09:35:00,HR74A3165,11,WORKING,hans enclave,28.444492,77.025699
2025-08-25 09:36:00,HR74A3165,11,WORKING,hans enclave,28.444495,77.025700
2025-08-25 09:37:00,HR74A3165,11,WORKING,hans enclave,28.444505,77.025710
2025-08-25 09:38:00,HR74A3165,11,WORKING,hans enclave,28.444517,77.025710
2025-08-25 09:39:00,HR74A3165,11,WORKING,hans enclave,28.444525,77.025719
2025-08-25 09:40:00,HR74A3165,11,WORKING,hans enclave,28.444529,77.025719
2025-08-25 09:41:00,HR74A3165,11,WORKING,hans enclave,28.444538,77.025730
2025-08-25 09:42:00,HR74A3165,11,WORKING,hans enclave,28.444542,77.025727
2025-08-25 09:43:00,HR74A3165,11,WORKING,hans enclave,28.444557,77.025738
2025-08-25 09:44:00,HR74A3165,11,WORKING,hans enclave,28.444563,77.025739
