timestamp,vehicle,ward,location_name,latitude,longitude,status
2025-08-25 09:00:00,HR26DP0703,19,Bhondsi,28.3532017,77.0618004,WORKING_IN_SINGLE_GALI
2025-08-25 09:01:00,HR26DP0703,19,Bhondsi,28.3532157,77.0617961,WORKING_IN_SINGLE_GALI
2025-08-25 09:02:00,HR26DP0703,19,Bhondsi,28.3532306,77.0617818,WORKING_IN_SINGLE_GALI
2025-08-25 09:03:00,HR26DP0703,19,Bhondsi,28.3532383,77.0617779,WORKING_IN_SINGLE_GALI
2025-08-25 09:04:00,HR26DP0703,19,Bhondsi,28.3532507,77.061776,WORKING_IN_SINGLE_GALI
2025-08-25 09:05:00,HR26DP0703,19,Bhondsi,28.3532703,77.0617662,WORKING_IN_SINGLE_GALI
2025-08-25 09:06:00,HR26DP0703,19,Bhondsi,28.353282,77.0617625,WORKING_IN_SINGLE_GALI
2025-08-25 09:07:00,HR26DP0703,19,Bhondsi,28.3532961,77.0617482,WORKING_IN_SINGLE_GALI
2025-08-25 09:08:00,HR26DP0703,19,Bhondsi,28.3533102,77.0617479,WORKING_IN_SINGLE_GALI
2025-08-25 09:09:00,HR26DP0703,19,Bhondsi,28.3533218,77.0617427,WORKING_IN_SINGLE_GALI
2025-08-25 09:10:00,HR26DP0703,19,Bhondsi,28.353332,77.0617345,WORKING_IN_SINGLE_GALI
2025-08-25 09:11:00,HR26DP0703,19,Bhondsi,28.3533476,77.0617233,WORKING_IN_SINGLE_GALI
2025-08-25 09:12:00,HR26DP0703,19,Bhondsi,28.353365,77.0617194,WORKING_IN_SINGLE_GALI
2025-08-25 09:13:00,HR26DP0703,19,Bhondsi,28.3533709,77.0617136,WORKING_IN_SINGLE_GALI
2025-08-25 09:14:00,HR26DP0703,19,Bhondsi,28.3533879,77.0617086,WORKING_IN_SINGLE_GALI
2025-08-25 09:15:00,HR26DP0703,19,Bhondsi,28.3533943,77.0616986,WORKING_IN_SINGLE_GALI
2025-08-25 09:16:00,HR26DP0703,19,Bhondsi,28.353407,77.0616969,WORKING_IN_SINGLE_GALI
2025-08-25 09:17:00,HR26DP0703,19,Bhondsi,28.353421,77.0616894,WORKING_IN_SINGLE_GALI
2025-08-25 09:18:00,HR26DP0703,19,Bhondsi,28.3534364,77.0616851,WORKING_IN_SINGLE_GALI
2025-08-25 09:19:00,HR26DP0703,19,Bhondsi,28.3534449,77.0616789,WORKING_IN_SINGLE_GALI
2025-08-25 09:20:00,HR26DP0703,19,Bhondsi,28.3534511,77.0616719,WORKING_IN_SINGLE_GALI
2025-08-25 09:21:00,HR26DP0703,19,Bhondsi,28.3534623,77.0616652,WORKING_IN_SINGLE_GALI
2025-08-25 09:22:00,HR26DP0703,19,Bhondsi,28.3534801,77.0616582,WORKING_IN_SINGLE_GALI
2025-08-25 09:23:00,HR26DP0703,19,Bhondsi,28.3534835,77.0616617,WORKING_IN_SINGLE_GALI
2025-08-25 09:24:00,HR26DP0703,19,Bhondsi,28.353493,77.061655,WORKING_IN_SINGLE_GALI
2025-08-25 09:25:00,HR26DP0703,19,Bhondsi,28.3535028,77.0616469,WORKING_IN_SINGLE_GALI
2025-08-25 09:26:00,HR26DP0703,19,Bhondsi,28.3535188,77.0616487,WORKING_IN_SINGLE_GALI
2025-08-25 09:27:00,HR26DP0703,19,Bhondsi,28.3535227,77.06164,WORKING_IN_SINGLE_GALI
2025-08-25 09:28:00,HR26DP0703,19,Bhondsi,28.3535353,77.0616406,WORKING_IN_SINGLE_GALI
2025-08-25 09:29:00,HR26DP0703,19,Bhondsi,28.3535375,77.0616312,WORKING_IN_SINGLE_GALI
2025-08-25 09:30:00,HR26DP0703,19,Bhondsi,28.3535487,77.0616289,WORKING_IN_SINGLE_GALI
2025-08-25 09:31:00,HR26DP0703,19,Bhondsi,28.3535521,77.061626,WORKING_IN_SINGLE_GALI
2025-08-25 09:32:00,HR26DP0703,19,Bhondsi,28.3535627,77.0616173,WORKING_IN_SINGLE_GALI
2025-08-25 09:33:00,HR26DP0703,19,Bhondsi,28.3535681,77.0616142,WORKING_IN_SINGLE_GALI
2025-08-25 09:34:00,HR26DP0703,19,Bhondsi,28.353576,77.0616183,WORKING_IN_SINGLE_GALI
2025-08-25 09:35:00,HR26DP0703,19,Bhondsi,28.3535834,77.0616164,WORKING_IN_SINGLE_GALI
2025-08-25 09:36:00,HR26DP0703,19,Bhondsi,28.3535873,77.0616057,WORKING_IN_SINGLE_GALI
2025-08-25 09:37:00,HR26DP0703,19,Bhondsi,28.3535904,77.061603,WORKING_IN_SINGLE_GALI
